"Seq.
No.";Lot;Coil Number;Mother Coil;Grade;Finish;Thickness;Width;Material Processed;PRIME (SLT);KW2;BabyCoil;Scrap;SS;Weighing Balance;Coil Individual Yield;;"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";;;;;
115;422;TI-GI306409A+B;TI-GI306409;304;2B;0,90;776;10.560;10.505;0;0;11;0;44;;;;;;;;;;;;;;;;;;
116;422;LTI-GI306392A+B+C;LTI-GI306392;304L;2B;1,20;769;12.220;12.155;0;0;14;0;51;;;;;;;;;;;;;;;;;;
118;422;TI-GI306408B;TI-GI306408;304;2B;0,90;776;10.540;10.490;0;0;5;0;45;;;;;;;;;;;;;;;;;;
119;421;TI-GI306130A+B;TI-GI306130;304;2B;1,50;770;10.470;10.415;0;0;27;0;28;;;;;;;;;;;;;;;;;;
120;421;TI-GI306197;TI-GI306197;304;2B;1,20;770;10.430;10.390;0;0;0;0;40;;;;;;;;;;;;;;;;;;
121;421;LTI-GI306204A+B+C;LTI-GI306204;304L;2B;2,00;770;12.160;12.100;0;0;0;0;60;;;;;;;;;;;;;;;;;;
122;421;TI-GI306266;TI-GI306266;304;2B;1,20;770;10.405;10.370;0;0;7;0;28;;;;;;;;;;;;;;;;;;
123;422;LTI-GI306487A+B;LTI-GI306487;304L;2B;2,00;765;10.320;10.275;0;0;0;0;45;;;;;;;;;;;;;;;;;;
124;422;LTI-GI306496A+B+C;LTI-GI306496;304L;2B;1,50;767;12.010;11.920;0;0;27;0;63;;;;;;;;;;;;;;;;;;
125;422;LTI-GI306400A+B;LTI-GI306400;304L;2B;1,50;766;10.445;10.375;0;0;9;0;61;;;;;;;;;;;;;;;;;;
126;421;TI-GI306192A+B;TI-GI306192;304;2B;1,00;770;10.445;10.395;0;0;0;0;50;;;;;;;;;;;;;;;;;;
127;422;LTI-GI306486A+B;LTI-GI306486;304L;2B;1,20;767;10.325;10.270;0;0;0;0;55;;;;;;;;;;;;;;;;;;
128;422;LTI-GI306513A;LTI-GI306513;304L;2B;1,50;767;10.365;10.320;0;0;0;0;45;;;;;;;;;;;;;;;;;;
129;422;LTI-GI306430A+B;LTI-GI306430;304L;2B;1,00;770;10.450;10.415;0;0;5;0;30;;;;;;;;;;;;;;;;;;
130;421;LTI-GI306222A+B;LTI-GI306222;304L;2B;1.20/1.50;770;10.195;10.140;0;0;9;0;46;;;;;;;;;;;;;;;;;;
131;421;TI-GI306149A+B;TI-GI306149;304;2B;1,00;770;10.515;10.460;0;0;6;0;49;;;;;;;;;;;;;;;;;;
132;422;LTI-GI306363A+B+C;LTI-GI306363;304L;2B;1,39;771;12.160;12.125;0;0;0;0;35;;;;;;;;;;;;;;;;;;
133;422;LTI-GI306523A+B;LTI-GI306523;304L;2B;1,89;766;10.255;10.195;0;0;0;0;60;;;;;;;;;;;;;;;;;;
134;421;LTI-GI306263A+B;LTI-GI306263;304L;2B;1,29;770;10.420;10.375;0;0;0;0;45;;;;;;;;;;;;;;;;;;
135;422;LTI-GI306401A;LTI-GI306401;304L;2B;1,89;767;10.455;10.390;0;0;0;0;65;;;;;;;;;;;;;;;;;;
136;422;LTI-GI306466A;LTI-GI306466;304L;2B;1,39;770;11.870;11.780;0;0;25;0;65;;;;;;;;;;;;;;;;;;
138;422;LTI-GI306481A+B;LTI-GI306481;304L;2B;1,09;768;9.965;9.910;0;0;6;0;49;;;;;;;;;;;;;;;;;;
139;421;LTI-GI306066A+B+C;LTI-GI306066;304L;2B;1,09;770;12.200;12.100;50;0;20;0;30;;;;;;;;;;;;;;;;;;
140;421;LTI-GI306106A;LTI-GI306106;304L;2B;0,79;770;10.580;10.475;0;50;0;0;55;;;;;;;;;;;;;;;;;;
142;422;LTI-GI306391A;LTI-GI306391;304L;2B;0,95;769;2.405;2.405;0;0;0;0;0;;;;;;;;;;;;;;;;;;
143;422;LTI-GI306373A+B;LTI-GI306373;304L;2B;0,99;768;10.540;10.465;0;0;0;0;75;;;;;;;;;;;;;;;;;;
144;421;LTI-GI306311A+B;LTI-GI306311;304L;2B;1,29;770;8.105;8.075;0;0;0;0;30;;;;;;;;;;;;;;;;;;
145;422;LTI-GI306391B+C;LTI-GI306391;304L;2B;0,95;769;5.430;5.395;0;0;0;0;35;;;;;;;;;;;;;;;;;;
146;421;TI-GI306159A+B;TI-GI306159;304;2B;1,20;770;10.485;10.430;0;0;0;0;55;;;;;;;;;;;;;;;;;;
147;421;LTI-GI306218A+B;LTI-GI306218;304L;2B;1,20;770;10.520;10.475;0;0;0;0;45;;;;;;;;;;;;;;;;;;
148;424;LTI-GI306652A+B+C;LTI-GI306652;304L;2B;1,50;767;11.960;11.910;0;0;0;0;50;;;;;;;;;;;;;;;;;;
149;422;TI-GI306346A+B;TI-GI306346;304;2B;1,20;770;10.440;10.400;0;0;0;0;40;;;;;;;;;;;;;;;;;;
150;424;LTI-GI306745A+B;LTI-GI306745;304L;2B;1,20;770;10.425;10.380;0;0;0;0;45;;;;;;;;;;;;;;;;;;
151;422;LTI-GI306439A+B;LTI-GI306439;304L;2B;1,50;770;11.975;11.915;0;0;0;0;60;;;;;;;;;;;;;;;;;;
152;424;LTI-GI306722A+B;LTI-GI306722;304L;2B;1,20;769;10.405;10.350;0;0;7;0;48;;;;;;;;;;;;;;;;;;
153;424;TI-GI306597A+B+C;TI-GI306597;304;2B;1,50;770;12.015;11.940;0;0;4;0;71;;;;;;;;;;;;;;;;;;
154;421;LTI-GI306271A+B;LTI-GI306271;304L;2B;1,20;770;10.365;10.315;0;0;7;0;43;;;;;;;;;;;;;;;;;;
155;421;LTI-GI306318A+B;LTI-GI306318;304L;2B;1,50;770;10.380;10.325;0;0;0;0;55;;;;;;;;;;;;;;;;;;
156;421;TI-GI306177A+B;TI-GI306177;304;2B;1,20;770;9.495;9.445;0;0;0;0;50;;;;;;;;;;;;;;;;;;
