id,lokasi_akses,jumlah_pengguna,satuan,tahun
600,OKAZAKI,1,USER,2022
601,OLDENBURG,1,USER,2022
602,ORLANDO,1,USER,2022
603,OSNABRUCK,1,USER,2022
604,OTA,1,USER,2022
605,PETALING JAYA,1,USER,2022
606,PIEDMONT,1,USER,2022
607,PINELLAS PARK,1,USER,2022
608,PLOVDIV,1,USER,2022
609,POCKING,1,USER,2022
610,POHANG-SI,1,USER,2022
611,PORTOVIEJO,1,USER,2022
612,PUCHONG,1,USER,2022
613,RACHA THEWA,1,USER,2022
614,RAS AL-KHAIMAH,1,USER,2022
615,RAWANG,1,USER,2022
616,RICHMOND,1,USER,2022
617,ROMSEY,1,USER,2022
618,ROTTERDAM,1,USER,2022
619,RUTHERFORD,1,USER,2022
620,SACHEON-SI,1,USER,2022
621,SAINT PETERSBURG,1,USER,2022
622,SAITAMA,1,USER,2022
623,SALE,1,USER,2022
624,SAMBAS,1,USER,2022
625,SAMPANG,1,USER,2022
626,SAN SALVADOR,1,USER,2022
627,SANTA CATARINA,1,USER,2022
628,SAO JOSE DOS CAMPOS,1,USER,2022
629,SAO PAULO,1,USER,2022
630,SEGAMAT DISTRICT,1,USER,2022
631,SEONGNAM-SI,1,USER,2022
632,SEPANG,1,USER,2022
633,SHAKOPEE,1,USER,2022
634,SHENZHEN,1,USER,2022
635,SHIBUYA CITY,1,USER,2022
636,SHIRAZ,1,USER,2022
637,SIBU,1,USER,2022
638,SIDIKALANG,1,USER,2022
639,SOUTH KOTABUMI,1,USER,2022
640,STOCKHOLM,1,USER,2022
641,SUGINAMI CITY,1,USER,2022
642,SUITA,1,USER,2022
643,SULLANA,1,USER,2022
644,SUMBERSUKO,1,USER,2022
645,TAKASAKI,1,USER,2022
646,TAMBA-SASAYAMA,1,USER,2022
647,TAN AN,1,USER,2022
648,TEHRAN,1,USER,2022
649,TEL AVIV-YAFO,1,USER,2022
650,TERAMO,1,USER,2022
651,THA MAKA,1,USER,2022
652,THIMPHU,1,USER,2022
653,TOSHIMA CITY,1,USER,2022
654,TOYAMA,1,USER,2022
655,TOYOHASHI,1,USER,2022
656,TULAROSA,1,USER,2022
657,TUNIS,1,USER,2022
658,TUSTIN,1,USER,2022
659,TUZLA,1,USER,2022
660,ULLAL,1,USER,2022
661,UMEA,1,USER,2022
662,UOZU,1,USER,2022
663,UTRECHT,1,USER,2022
664,VALENZUELA,1,USER,2022
665,VANCOUVER,1,USER,2022
666,WARSAW,1,USER,2022
667,YEONGCHEON-SI,1,USER,2022
668,YEREVAN,1,USER,2022
669,YONAGO,1,USER,2022
670,YORKTOWN HEIGHTS,1,USER,2022
671,ZHONGLI DISTRICT,1,USER,2022
672,ZURICH,1,USER,2022
